text,classed,timecode,linebreak,space
Lock,0,0.319,0,1
up,0,0.459,0,1
ya,3,0.616,0,1
daugh,0,0.821,0,0
ters,2,1.03,0,1
and,0,1.2,0,1
hor,3,1.37,0,0
"ses,",0,1.62,0,1
of,1,1.93,0,1
course,3,2.28,1,1
It's,4,2.7,0,1
hard,3,2.87,0,1
to,0,3,0,1
have,0,3.23,0,1
in,0,3.4,0,0
ter,2,3.58,0,0
course,3,3.75,0,1
o,0,4.08,0,0
ver,2,4.3,0,1
four,3,4.46,0,1
sets,4,4.83,0,1
of,1,5,0,1
cor,3,5.23,0,0
sets,4,5.57,0,1
