text,classed,timecode,linebreak,space
Rap,0,0.105,0,0
pers,0,0.268,0,1
I,0,0.489,0,1
mon,2,0.573,0,0
key,1,0.738,0,1
flip,3,0.893,0,1
em,2,1.161,0,1
with,3,1.3,0,1
the,0,1.45,0,1
fun,2,1.58,0,0
ky,1,1.89,0,1
rhy,3,2.02,0,0
thm,2,2.177,0,1
I,0,2.34,0,1
be,1,2.59,0,1
kick,3,2.65,0,0
in,4,2.93,1,1
Mu,0,3.2,0,0
si,3,3.4,0,0
cian,4,3.5,0,1
in,4,3.94,0,0
flict,3,4.1,0,0
in,4,4.3,0,1
com,2,4.48,0,0
po,0,4.6,0,0
si,3,4.84,0,0
tion,4,5,0,1
of,0,5.32,0,1
pain,0,5.5,0,1
